"","lat","lon","time","group","day"
"394",-37.8149915,144.9641728,20.5781111111282,1,17718
"395",-37.814993,144.9641758,20.5844566666347,1,17718
"396",-37.8149913,144.9641747,20.6180733333749,1,17718
"397",-37.8149913,144.9641747,20.6596725000127,1,17718
"398",-37.8149922,144.9641754,20.7185658333765,1,17718
"399",-37.814994,144.9641804,20.7433263888524,1,17718
"400",-37.8149985,144.9641848,20.779448333371,1,17718
"401",-37.8149985,144.9641848,20.8213591666718,1,17718
"402",-37.8149945,144.9641793,20.8671980555227,1,17718
"403",-37.8147285,144.964069,20.9052761111525,1,17718
"404",-37.8150007,144.9641835,20.9389713888813,1,17718
"405",-37.8150007,144.9641835,20.9756080555962,1,17718
"406",-37.814991,144.96417,21.0093850000412,1,17718
"407",-37.8149819,144.9641755,21.0181986111274,1,17718
"408",-37.8149901,144.9641704,21.0247427777504,1,17718
"409",-37.8149921,144.9641719,21.0581111111387,1,17718
"410",-37.8149921,144.9641719,21.0928124999627,1,17718
"411",-37.8149939,144.964174,21.1473994444241,1,17718
"412",-37.8149939,144.964174,21.1818469444406,1,17718
"413",-37.8149952,144.9641765,21.2233816666412,1,17718
"414",-37.8149952,144.9641765,21.2734072221792,1,17718
"415",-37.8149944,144.9641791,21.3234374999593,1,17718
"416",-37.8149946,144.9641782,21.3568336111493,1,17718
"417",-37.8149946,144.9641782,21.4235038888874,1,17718
"418",-37.8149949,144.9641773,21.4485655555909,1,17718
"419",-37.8149926,144.9641769,21.4528166666278,1,17718
"420",-37.8149925,144.9641779,21.4867530555639,1,17718
"421",-37.8149944,144.9641735,21.5208327777509,1,17718
"422",-37.8149938,144.9641756,21.5541827777342,1,17718
"423",-37.8149928,144.9641736,21.5880305555474,1,17718
"424",-37.8149928,144.9641736,21.6221811111027,1,17718
"425",-37.814993,144.9641731,21.6938608333585,1,17718
"426",-37.814993,144.9641742,21.7275163888989,1,17718
"427",-37.814993,144.9641742,21.7686925000162,1,17718
"428",-37.8149948,144.964174,21.8391224999796,1,17718
"429",-37.8149936,144.9641759,21.8558677777764,1,17718
"430",-37.8149936,144.9641759,21.8894052777905,1,17718
"431",-37.8149936,144.9641759,21.9435716666339,1,17718
"432",-37.8149949,144.9641742,21.9802222222497,1,17718
"433",-37.8149914,144.9641762,22.0141524999926,1,17718
"434",-37.814992,144.9641734,22.0170038889046,1,17718
"435",-37.8149915,144.9641765,22.0228552777844,1,17718
